bearing,ring,extent,damage_kind,condition,median_margin,detection,q25,q75,n_frames
KB24,combined,3,real combined,all,92.67556020014311,1.0,44.70125179408934,117.45330341995049,1280
KB24,combined,3,real combined,N15_M07_F10,99.2792899433858,1.0,95.03061825806073,104.30883655517124,320
KB24,combined,3,real combined,N09_M07_F10,26.7280342990881,1.0,21.129248446221663,35.69025568130071,320
KB24,combined,3,real combined,N15_M01_F10,139.66551974400485,1.0,133.37098467074057,145.31795906351223,320
KB24,combined,3,real combined,N15_M07_F04,80.52335119740388,1.0,64.06736063558112,88.82844656457597,320
KB27,combined,1,real combined+indentation,all,1.5757492355886284,0.7671875,0.06126766288561835,3.2796044210431052,1280
KB27,combined,1,real combined+indentation,N15_M07_F10,3.037968711310134,0.9968652037617555,2.0798273509600045,3.9229317745490504,319
KB27,combined,1,real combined+indentation,N09_M07_F10,-0.26958309757698984,0.40625,-0.727650323722024,0.3488354138504613,320
KB27,combined,1,real combined+indentation,N15_M01_F10,3.467956105462058,0.9937888198757764,2.4862323869106824,4.446399943116687,322
KB27,combined,1,real combined+indentation,N15_M07_F04,0.490293221003078,0.670846394984326,-0.16787219792869107,1.0873394303610364,319
KI01,inner,1,artificial EDM,all,45.538236061462044,1.0,19.278925681414194,69.2960825197588,1280
KI01,inner,1,artificial EDM,N15_M07_F10,62.19988490021951,1.0,52.81256108323079,71.47697924138177,320
KI01,inner,1,artificial EDM,N09_M07_F10,10.597534129876049,1.0,7.39603463392091,14.905587276400427,320
KI01,inner,1,artificial EDM,N15_M01_F10,78.99228987036977,1.0,65.68821785969622,89.80987784730064,320
KI01,inner,1,artificial EDM,N15_M07_F04,34.3304098253752,1.0,26.226290883459544,40.87574504216961,320
KI03,inner,1,artificial engraver,all,1.3605016616113565,0.8536776212832551,0.47789355193261207,5.561975872908538,1278
KI03,inner,1,artificial engraver,N15_M07_F10,1.2898429459754555,0.925,0.6397393484473484,2.0468257456809953,320
KI03,inner,1,artificial engraver,N09_M07_F10,13.871805893266465,1.0,11.179182227860672,16.1127634111879,318
KI03,inner,1,artificial engraver,N15_M01_F10,0.838820494667051,0.8119122257053292,0.16772263640736193,1.4431356199917071,319
KI03,inner,1,artificial engraver,N15_M07_F04,0.5263574584652718,0.6791277258566978,-0.1939604844554216,1.3447910631103797,321
KI04,inner,1,real fatigue pitting,all,17.167556737302277,1.0,12.643234894188332,23.0623951415555,1280
KI04,inner,1,real fatigue pitting,N15_M07_F10,20.469623711269893,1.0,17.8361948004005,23.118810801949188,320
KI04,inner,1,real fatigue pitting,N09_M07_F10,14.469586687786425,1.0,12.204297970429682,16.54229733967037,320
KI04,inner,1,real fatigue pitting,N15_M01_F10,25.643558951784374,1.0,22.766579158460495,28.486168684938473,320
KI04,inner,1,real fatigue pitting,N15_M07_F04,11.487011978858856,1.0,9.711685191030218,13.099926634747987,320
